,userId,artistId,artist,plays,gender,age,country,signupDate
249130,03b9c645bc4f578ea1dcb6a975e7ea71fab79da2,a16371b9-7d36-497a-a9d4-42b0a0440c5e,slowdive,108,m,28.0,Germany,"Sep 16, 2006"
16103327,ee48ac7de691d31176a2843d0f2f8f49cab78e6d,5a24bc1a-c093-4a82-84ed-8d7f2da0570d,skinny puppy,407,m,,Canada,"Dec 14, 2006"
12079167,b2e3d27a00fc3035edb439b14e6d30bcb6dddf69,68f1175b-592b-4f28-ab1c-85c7a438c636,turbonegro,91,m,29.0,United Kingdom,"Sep 23, 2005"
12210583,b4d4909255dc5bb404ff64866cac60164b465e9a,cfd3727e-7162-4e6a-a3f7-a59343ee6b8d,honey is cool,50,,,Denmark,"Dec 22, 2008"
7937614,758de8850b5a07875da1e23296e4021574be8596,3bb24e11-821a-4e4e-bd89-e0a2452474cf,useless id,108,m,25.0,Serbia,"Mar 15, 2009"
10177216,96902533dbad7baa634adf7e082403a58f562ed8,82caaf3a-76de-4604-a71d-5072ea20534f,murat boz,4,f,20.0,Poland,"Feb 14, 2009"
10159771,964ce203def2358599a79a26d23a0ae6d3365e93,1c70a3fc-fa3c-4be1-8b55-c3192db8a884,röyksopp,3945,m,20.0,Germany,"Sep 2, 2008"
2935254,2b6c4f917303854c7704e1c68d4fbf76f9c35a50,0743b15a-3c32-48c8-ad58-cb325350befa,blink-182,385,f,18.0,United Kingdom,"Jul 1, 2007"
3382273,321a7e616bd9dea70ab7fecad8ffc1646f4b2c4e,00eeed6b-5897-4359-8347-b8cd28375331,manowar,342,f,24.0,Germany,"Mar 4, 2007"
5395094,4fff9d5520a0013108e08ade3a19acf78d46d908,da8614a9-f604-4757-9964-c4dd65139944,el columpio asesino,1,f,,Spain,"Sep 6, 2008"
5285822,4e6640911540d5ab4bd6fc2cf8bc154e40faae16,66f398bf-ae55-4f13-b993-fa871c57157f,drexciya,229,m,31.0,Sweden,"Jan 9, 2006"
7295219,6bf4cdce5cb77827425c717299ecf58ecd8ebeee,463a94f1-2713-40b1-9c88-dcc9c0170cae,minus 8,18,,,Germany,"Feb 29, 2008"
12355883,b6ef248780dc89d25d0443215258f1b696018741,6191360a-edc5-41d7-a83e-c9f0ab842f53,neon neon,124,m,,Japan,"Feb 15, 2008"
2783455,293d375319fd7f466ace1f972d36aedb60cdad80,cdd36de9-031e-4188-ba6e-8785d8c0b76f,gitane demone,119,m,24.0,United States,"Jul 7, 2009"
15010094,de01ebb0fe81011c9ca72fe144f76c9aeb0f1e85,8bfac288-ccc5-448d-9573-c33ea2aa5c30,red hot chili peppers,55,f,17.0,Poland,"Sep 20, 2008"
14047624,cfd3922ecb97627bf643b3a0d819e6e5f9865f03,04af2581-6692-4f14-a7fe-151a36f20368,cascada,76,f,21.0,Austria,"May 24, 2008"
6288507,5d1822d5c9fcaa55fdad3df72512687d0b8cf047,f2fc6ece-5615-4d2c-9cb3-8c5d51a839ea,pendulum,144,m,19.0,Poland,"May 30, 2009"
8636911,7fdedec4564831281ef1cf0387001d2e2ee67a67,f4d4b515-0b74-423f-a161-db184330c37c,gym class heroes,21,f,32.0,United Kingdom,"Jun 15, 2008"
13311593,c5102fbb5c2b7a9fe1e212a248d83fec1edcc605,ee78d12d-1752-42b4-9f92-9407f9312843,imitation pops ???? noiz,61,f,,United States,"Jul 6, 2008"
16105386,ee51f595cc8055263789a1650dbc9e188b283506,42d79b6b-2cfe-43f4-b5d9-239503074153,genghis tron,289,m,,"Korea, Republic of","Mar 29, 2006"
3362391,31cd97f1097dee1038501bfe39f34384cd5a4161,d7ac3cc7-0d65-476b-9b81-d3e872672a2f,bløf,123,f,18.0,Netherlands,"Apr 14, 2008"
5278039,4e48e1d1c6bfaf087e843f528e61b338a900387e,592b9a1b-b900-4c1a-a165-bd7e7ce87d23,groundation,97,m,23.0,Netherlands,"Sep 25, 2008"
6216096,5c067515a2d567877555789644f3f16a064e2bf7,4bd939ac-c99f-4ffc-97a8-dcf74155a52f,the juliana theory,417,f,22.0,United States,"Aug 3, 2005"
15997990,ecb7e89aba9dcb86b9b81b4ab6cf37a4a5c966f2,4caec583-cdcb-437c-af84-8797b11b6807,peeping tom,124,m,22.0,Portugal,"Aug 28, 2006"
12672013,bbaf1cba2715941148891503e88769e83ad0bddd,27f0af0e-4d1f-4808-a58b-090e400dcc43,mr.children,817,f,22.0,Argentina,"Feb 1, 2006"
3933736,3a4cc6076f24772f864af79dfd370b2bd6e7d7f4,1079b087-a5b3-4a07-abbc-88043ceda334,alesana,4,m,18.0,Belgium,"Jan 23, 2009"
11038075,a3789596fe4523eaf5e4e1a420dc12ecd2639e1e,bc3d74c5-9328-4a1b-8014-3ecdb3dababe,nitin sawhney,203,f,22.0,Poland,"May 25, 2008"
6826298,6513b724590dd7f2ccdc11a8cf3262a877389693,a505bb48-ad65-4af4-ae47-29149715bff9,thievery corporation,176,m,25.0,United States,"Dec 2, 2007"
12363897,b70c235b8dd2ee78a042836aeb5690e810b0f4d2,650e7db6-b795-4eb5-a702-5ea2fc46c848,lady gaga,15,m,19.0,Spain,"Dec 7, 2008"
16965511,fae81d3e9ded943a62ed72ddaebc7216d90299ea,36888e42-b2cb-46c4-aadc-c8b1ade9c3b1,everette harp,67,m,42.0,Germany,"Jan 3, 2007"
8677252,8072f9cd350838136f4e1e64f07117990512914b,44a7f7d5-79df-4f44-8f5e-02dfc0626904,gipsy kings,91,m,29.0,Poland,"Apr 19, 2006"
9130511,872d3cd0df13e41b4e3c2257527d9ab1133f9dd5,e519e012-e1a3-4592-b3f6-5a16227ab654,have heart,146,m,17.0,United States,"Dec 19, 2008"
3091006,2dbfdcbd159bce37da20c28c23f0301318394e1e,b7ffd2af-418f-4be2-bdd1-22f8b48613da,nine inch nails,23,m,,Greece,"Jul 6, 2007"
5334187,4f1f7e034ecef1055ebc34a5b649075a598dc61d,eeb1195b-f213-4ce1-b28c-8565211f8e43,guns n' roses,113,m,21.0,Russian Federation,"Dec 8, 2007"
5638142,539042a1507ae9a0e5b9ba2731990c8f6102b127,39e32995-6515-40b2-a6f0-841524047edc,katie melua,14,m,19.0,Germany,"Mar 8, 2007"
14525684,d6e1c12f0c8c02c394a74e444a1dd9737ba73953,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,sufjan stevens,305,m,,United States,"Mar 20, 2007"
5253743,4decb02f730cbc1fc438061f044b0142202537d0,d2b83114-af3e-4397-b570-10d81f1dd650,trans-siberian orchestra,168,m,19.0,Netherlands,"Oct 7, 2005"
14990935,ddb9e4b62d6575eaa0f41b6e0d54a9029f4ba622,f57e14e4-b030-467c-b202-539453f504ec,children of bodom,134,m,24.0,Turkey,"Feb 14, 2006"
15770410,e96e4f80a41302e0c9badcfcda1755c992964b62,592141a8-bbcf-45ba-91d9-698373a121a1,mother vulpine,294,m,20.0,Australia,"Aug 13, 2006"
2793141,29618fd585085bc9317a6d9cebfe3bd9e035cb6d,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,the white stripes,220,f,17.0,United States,"Dec 27, 2007"
7598780,707db021de04bee27d267c791d221ee44a1c0d54,92e634a7-6023-4be8-be15-ebba822f5b34,maxïmo park,192,m,16.0,Finland,"Feb 11, 2008"
12357674,b6f710c1319038d92105205d1277e02f5a96ffb3,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,belle and sebastian,106,,,United States,"Mar 13, 2009"
13694482,ca9b48e4d950eab68c6b1bded1453d7cf21098d9,24ea074c-59cc-41c5-a5de-f68c2952965f,paolo nutini,6,m,18.0,United Kingdom,"Jun 2, 2008"
6833804,65299e54d0fb4664b23164de59ffad69c1a3d17b,b476264b-dcdc-4cbf-bd40-9eddaf5a6942,longwave,339,f,23.0,United States,"Dec 24, 2005"
4181434,3ddaaadec6379e400dbd12c44e614e4c474f518c,a74b1b7f-71a5-4011-9441-d0b5e4122711,radiohead,495,m,21.0,United States,"May 29, 2005"
4300794,3fa1fc5ff41140081594f6da8a3fe2ccd7b401da,e99f6d62-f62b-4e1e-8593-33d5696d85f0,los bunkers,483,f,21.0,Chile,"May 29, 2007"
14725451,d9c2a1bd706d9b711a88dec94cad5f55a79ab469,328676f3-76ac-40df-b154-31e6f533286a,great white,29,m,40.0,Spain,"Jul 1, 2008"
2926778,2b4ddddb7c1ca38a9c4ea07788fc816ea64950fe,7527f6c2-d762-4b88-b5e2-9244f1e34c46,deftones,504,m,20.0,United States,"May 25, 2007"
12100866,b33a3f348551aa882261b9e02aa5fbd32ca5f32a,32517f28-6d70-4cf7-b5b8-1eaf9329ccb8,deivos,173,m,18.0,Canada,"Jun 7, 2006"
5226760,4d87b137adf0f06526eb1d3310892087087e080d,eda489f6-afa5-46b0-a4f5-ad42e735dcad,stacie orrico,225,m,19.0,Germany,"May 17, 2006"
6822546,650526c0bffb1397f22586a04fbe661418c87258,2aa9cdd4-6337-4df0-bfb5-b2e9defad219,traband,22,f,28.0,Poland,"Dec 14, 2007"
6317660,5d8d2ecf31b98ddba4fc1c0ac734ddfa29d64d8a,67f66c07-6e61-4026-ade5-7e782fad3a5d,foo fighters,414,m,30.0,Spain,"May 4, 2006"
16598564,f56d7c7043bd592e083826c4daded81592e8994c,d700b3f5-45af-4d02-95ed-57d301bda93e,mogwai,249,m,25.0,Canada,"Aug 22, 2006"
6312950,5d77db412f235a4c017597c67e012ac40954dd86,ce7bba8b-026b-4aa6-bddb-f98ed6d595e4,napalm death,177,m,22.0,United Kingdom,"Nov 7, 2005"
4168845,3daa43a1be6f48a852c15f448e9c84c87fa95309,82283c8d-b0b2-4789-8622-7e34bc7b6122,1997,502,m,24.0,United States,"Oct 17, 2007"
