userId	artistId	artist	plays	gender	age	country	signupDate
03b9c645bc4f578ea1dcb6a975e7ea71fab79da2	a16371b9-7d36-497a-a9d4-42b0a0440c5e	slowdive	0.08359133126934984	m	28.0	Germany	2006-09-16
ee48ac7de691d31176a2843d0f2f8f49cab78e6d	5a24bc1a-c093-4a82-84ed-8d7f2da0570d	skinny puppy	0.33832086450540316	m		Canada	2006-12-14
b2e3d27a00fc3035edb439b14e6d30bcb6dddf69	68f1175b-592b-4f28-ab1c-85c7a438c636	turbonegro	0.05515151515151515	m	29.0	United Kingdom	2005-09-23
b4d4909255dc5bb404ff64866cac60164b465e9a	cfd3727e-7162-4e6a-a3f7-a59343ee6b8d	honey is cool	0.10775862068965517			Denmark	2008-12-22
758de8850b5a07875da1e23296e4021574be8596	3bb24e11-821a-4e4e-bd89-e0a2452474cf	useless id	0.28346456692913385	m	25.0	Serbia	2009-03-15
96902533dbad7baa634adf7e082403a58f562ed8	82caaf3a-76de-4604-a71d-5072ea20534f	murat boz	0.00975609756097561	f	20.0	Poland	2009-02-14
964ce203def2358599a79a26d23a0ae6d3365e93	1c70a3fc-fa3c-4be1-8b55-c3192db8a884	röyksopp	6.860869565217391	m	20.0	Germany	2008-09-02
2b6c4f917303854c7704e1c68d4fbf76f9c35a50	0743b15a-3c32-48c8-ad58-cb325350befa	blink-182	0.3834661354581673	f	18.0	United Kingdom	2007-07-01
321a7e616bd9dea70ab7fecad8ffc1646f4b2c4e	00eeed6b-5897-4359-8347-b8cd28375331	manowar	0.3045414069456812	f	24.0	Germany	2007-03-04
4fff9d5520a0013108e08ade3a19acf78d46d908	da8614a9-f604-4757-9964-c4dd65139944	el columpio asesino	0.0017513134851138354	f		Spain	2008-09-06
4e6640911540d5ab4bd6fc2cf8bc154e40faae16	66f398bf-ae55-4f13-b993-fa871c57157f	drexciya	0.14850843060959792	m	31.0	Sweden	2006-01-09
6bf4cdce5cb77827425c717299ecf58ecd8ebeee	463a94f1-2713-40b1-9c88-dcc9c0170cae	minus 8	0.023653088042049936			Germany	2008-02-29
b6ef248780dc89d25d0443215258f1b696018741	6191360a-edc5-41d7-a83e-c9f0ab842f53	neon neon	0.16	m		Japan	2008-02-15
293d375319fd7f466ace1f972d36aedb60cdad80	cdd36de9-031e-4188-ba6e-8785d8c0b76f	gitane demone	0.44569288389513106	m	24.0	United States	2009-07-07
de01ebb0fe81011c9ca72fe144f76c9aeb0f1e85	8bfac288-ccc5-448d-9573-c33ea2aa5c30	red hot chili peppers	0.09874326750448834	f	17.0	Poland	2008-09-20
cfd3922ecb97627bf643b3a0d819e6e5f9865f03	04af2581-6692-4f14-a7fe-151a36f20368	cascada	0.11242603550295859	f	21.0	Austria	2008-05-24
5d1822d5c9fcaa55fdad3df72512687d0b8cf047	f2fc6ece-5615-4d2c-9cb3-8c5d51a839ea	pendulum	0.4721311475409836	m	19.0	Poland	2009-05-30
7fdedec4564831281ef1cf0387001d2e2ee67a67	f4d4b515-0b74-423f-a161-db184330c37c	gym class heroes	0.03211009174311927	f	32.0	United Kingdom	2008-06-15
c5102fbb5c2b7a9fe1e212a248d83fec1edcc605	ee78d12d-1752-42b4-9f92-9407f9312843	imitation pops ???? noiz	0.09636650868878358	f		United States	2008-07-06
ee51f595cc8055263789a1650dbc9e188b283506	42d79b6b-2cfe-43f4-b5d9-239503074153	genghis tron	0.1975393028024607	m		Korea, Republic of	2006-03-29
31cd97f1097dee1038501bfe39f34384cd5a4161	d7ac3cc7-0d65-476b-9b81-d3e872672a2f	bløf	0.1717877094972067	f	18.0	Netherlands	2008-04-14
4e48e1d1c6bfaf087e843f528e61b338a900387e	592b9a1b-b900-4c1a-a165-bd7e7ce87d23	groundation	0.17572463768115942	m	23.0	Netherlands	2008-09-25
5c067515a2d567877555789644f3f16a064e2bf7	4bd939ac-c99f-4ffc-97a8-dcf74155a52f	the juliana theory	0.24514991181657847	f	22.0	United States	2005-08-03
ecb7e89aba9dcb86b9b81b4ab6cf37a4a5c966f2	4caec583-cdcb-437c-af84-8797b11b6807	peeping tom	0.09458428680396644	m	22.0	Portugal	2006-08-28
bbaf1cba2715941148891503e88769e83ad0bddd	27f0af0e-4d1f-4808-a58b-090e400dcc43	mr.children	0.5378538512179065	f	22.0	Argentina	2006-02-01
3a4cc6076f24772f864af79dfd370b2bd6e7d7f4	1079b087-a5b3-4a07-abbc-88043ceda334	alesana	0.009259259259259259	m	18.0	Belgium	2009-01-23
a3789596fe4523eaf5e4e1a420dc12ecd2639e1e	bc3d74c5-9328-4a1b-8014-3ecdb3dababe	nitin sawhney	0.30074074074074075	f	22.0	Poland	2008-05-25
6513b724590dd7f2ccdc11a8cf3262a877389693	a505bb48-ad65-4af4-ae47-29149715bff9	thievery corporation	0.20705882352941177	m	25.0	United States	2007-12-02
b70c235b8dd2ee78a042836aeb5690e810b0f4d2	650e7db6-b795-4eb5-a702-5ea2fc46c848	lady gaga	0.031315240083507306	m	19.0	Spain	2008-12-07
fae81d3e9ded943a62ed72ddaebc7216d90299ea	36888e42-b2cb-46c4-aadc-c8b1ade9c3b1	everette harp	0.0566356720202874	m	42.0	Germany	2007-01-03
8072f9cd350838136f4e1e64f07117990512914b	44a7f7d5-79df-4f44-8f5e-02dfc0626904	gipsy kings	0.06310679611650485	m	29.0	Poland	2006-04-19
872d3cd0df13e41b4e3c2257527d9ab1133f9dd5	e519e012-e1a3-4592-b3f6-5a16227ab654	have heart	0.31263383297644537	m	17.0	United States	2008-12-19
2dbfdcbd159bce37da20c28c23f0301318394e1e	b7ffd2af-418f-4be2-bdd1-22f8b48613da	nine inch nails	0.023023023023023025	m		Greece	2007-07-06
4f1f7e034ecef1055ebc34a5b649075a598dc61d	eeb1195b-f213-4ce1-b28c-8565211f8e43	guns n' roses	0.1338862559241706	m	21.0	Russian Federation	2007-12-08
539042a1507ae9a0e5b9ba2731990c8f6102b127	39e32995-6515-40b2-a6f0-841524047edc	katie melua	0.012511170688114389	m	19.0	Germany	2007-03-08
d6e1c12f0c8c02c394a74e444a1dd9737ba73953	01d3c51b-9b98-418a-8d8e-37f6fab59d8c	sufjan stevens	0.2755194218608853	m		United States	2007-03-20
4decb02f730cbc1fc438061f044b0142202537d0	d2b83114-af3e-4397-b570-10d81f1dd650	trans-siberian orchestra	0.10268948655256724	m	19.0	Netherlands	2005-10-07
ddb9e4b62d6575eaa0f41b6e0d54a9029f4ba622	f57e14e4-b030-467c-b202-539453f504ec	children of bodom	0.08897742363877822	m	24.0	Turkey	2006-02-14
e96e4f80a41302e0c9badcfcda1755c992964b62	592141a8-bbcf-45ba-91d9-698373a121a1	mother vulpine	0.22171945701357465	m	20.0	Australia	2006-08-13
